ip|conn_type
109.105.143.65|None
109.105.160.91|Cable/DSL
109.105.161.218|Cable/DSL
109.105.161.225|Cable/DSL
109.105.163.131|Cellular
109.105.163.188|Cellular
109.105.164.140|Cable/DSL
109.105.165.16|Cable/DSL
109.105.167.133|Cable/DSL
109.105.167.152|Cable/DSL
109.105.167.3|Cable/DSL
109.105.168.231|Cellular
109.105.168.69|Cellular
109.105.169.213|Cellular
109.105.170.211|Cellular
109.105.172.55|Cellular
109.105.173.117|Cellular
109.105.173.4|Cellular
109.105.175.58|Cellular
109.105.177.143|Cellular
109.105.178.151|Cellular
109.105.181.16|Cellular
109.105.182.101|Cellular
109.105.182.55|Cellular
109.105.183.19|Cellular
109.105.183.209|Cellular
109.105.185.1|Cellular
109.105.187.12|Cellular
109.105.187.219|Cellular
109.105.188.182|Cellular
109.105.189.204|Cellular
109.105.189.71|Cellular
109.105.190.184|Cellular
109.105.190.61|Cellular
109.105.66.213|Cable/DSL
109.105.68.107|Cable/DSL
109.105.68.123|Cable/DSL
109.105.69.236|Cable/DSL
109.105.70.46|Cable/DSL
109.105.73.100|Cable/DSL
109.105.74.186|Cable/DSL
109.105.80.76|Cable/DSL
109.105.82.152|Cable/DSL
109.105.82.238|Cable/DSL
109.105.82.4|Cable/DSL
109.105.91.31|Cable/DSL
109.105.91.67|Cable/DSL
109.105.93.246|Cable/DSL
109.106.129.251|Cable/DSL
109.106.138.30|Cable/DSL
109.106.139.21|Cable/DSL
109.106.139.61|Cable/DSL
109.106.140.101|Cable/DSL
109.106.140.111|Cable/DSL
109.106.140.123|Cable/DSL
109.106.140.132|Cable/DSL
109.106.140.151|Cable/DSL
109.106.140.17|Cable/DSL
109.106.140.173|Cable/DSL
109.106.140.183|Cable/DSL
109.106.140.191|Cable/DSL
109.106.140.194|Cable/DSL
109.106.140.2|Cable/DSL
109.106.140.215|Cable/DSL
109.106.140.231|Cable/DSL
109.106.140.233|Cable/DSL
109.106.140.241|Cable/DSL
109.106.140.246|Cable/DSL
109.106.140.3|Cable/DSL
109.106.140.31|Cable/DSL
109.106.140.32|Cable/DSL
109.106.140.51|Cable/DSL
109.106.140.53|Cable/DSL
109.106.140.71|Cable/DSL
109.106.140.81|Cable/DSL
109.106.140.82|Cable/DSL
109.106.140.83|Cable/DSL
109.106.140.91|Cable/DSL
109.106.140.92|Cable/DSL
109.106.141.11|Cable/DSL
109.106.141.111|Cable/DSL
109.106.141.114|Cable/DSL
109.106.141.121|Cable/DSL
109.106.141.123|Cable/DSL
109.106.141.13|Cable/DSL
109.106.141.132|Cable/DSL
109.106.141.162|Cable/DSL
109.106.141.202|Cable/DSL
109.106.141.221|Cable/DSL
109.106.141.223|Cable/DSL
109.106.141.234|Cable/DSL
109.106.141.241|Cable/DSL
109.106.141.242|Cable/DSL
109.106.141.246|Cable/DSL
109.106.141.33|Cable/DSL
109.106.141.83|Cable/DSL
109.106.141.84|Cable/DSL
109.106.141.85|Cable/DSL
109.106.142.105|Cable/DSL
109.106.142.108|Cable/DSL
109.106.142.11|Cable/DSL
109.106.142.111|Cable/DSL
109.106.142.115|Cable/DSL
109.106.142.118|Cable/DSL
109.106.142.12|Cable/DSL
109.106.142.120|Cable/DSL
109.106.142.121|Cable/DSL
109.106.142.124|Cable/DSL
109.106.142.125|Cable/DSL
109.106.142.133|Cable/DSL
109.106.142.14|Cable/DSL
109.106.142.141|Cable/DSL
109.106.142.143|Cable/DSL
109.106.142.144|Cable/DSL
109.106.142.145|Cable/DSL
109.106.142.147|Cable/DSL
109.106.142.148|Cable/DSL
109.106.142.153|Cable/DSL
109.106.142.156|Cable/DSL
109.106.142.157|Cable/DSL
109.106.142.159|Cable/DSL
109.106.142.163|Cable/DSL
109.106.142.165|Cable/DSL
109.106.142.175|Cable/DSL
109.106.142.176|Cable/DSL
109.106.142.180|Cable/DSL
109.106.142.182|Cable/DSL
109.106.142.184|Cable/DSL
109.106.142.189|Cable/DSL
109.106.142.19|Cable/DSL
109.106.142.191|Cable/DSL
109.106.142.197|Cable/DSL
109.106.142.201|Cable/DSL
109.106.142.204|Cable/DSL
109.106.142.207|Cable/DSL
109.106.142.211|Cable/DSL
109.106.142.214|Cable/DSL
109.106.142.22|Cable/DSL
109.106.142.222|Cable/DSL
109.106.142.224|Cable/DSL
109.106.142.227|Cable/DSL
109.106.142.233|Cable/DSL
109.106.142.236|Cable/DSL
109.106.142.237|Cable/DSL
109.106.142.241|Cable/DSL
109.106.142.242|Cable/DSL
109.106.142.244|Cable/DSL
109.106.142.26|Cable/DSL
109.106.142.31|Cable/DSL
109.106.142.32|Cable/DSL
109.106.142.36|Cable/DSL
109.106.142.37|Cable/DSL
109.106.142.53|Cable/DSL
109.106.142.60|Cable/DSL
109.106.142.66|Cable/DSL
109.106.142.77|Cable/DSL
109.106.142.78|Cable/DSL
109.106.142.81|Cable/DSL
109.106.143.101|Cable/DSL
109.106.143.103|Cable/DSL
109.106.143.105|Cable/DSL
109.106.143.108|Cable/DSL
109.106.143.115|Cable/DSL
109.106.143.116|Cable/DSL
109.106.143.12|Cable/DSL
109.106.143.121|Cable/DSL
109.106.143.122|Cable/DSL
109.106.143.131|Cable/DSL
109.106.143.135|Cable/DSL
109.106.143.137|Cable/DSL
109.106.143.141|Cable/DSL
109.106.143.143|Cable/DSL
109.106.143.144|Cable/DSL
109.106.143.146|Cable/DSL
109.106.143.151|Cable/DSL
109.106.143.157|Cable/DSL
109.106.143.158|Cable/DSL
109.106.143.165|Cable/DSL
109.106.143.168|Cable/DSL
109.106.143.17|Cable/DSL
109.106.143.172|Cable/DSL
109.106.143.173|Cable/DSL
109.106.143.174|Cable/DSL
109.106.143.175|Cable/DSL
109.106.143.180|Cable/DSL
109.106.143.182|Cable/DSL
109.106.143.186|Cable/DSL
109.106.143.187|Cable/DSL
109.106.143.188|Cable/DSL
109.106.143.19|Cable/DSL
109.106.143.192|Cable/DSL
109.106.143.193|Cable/DSL
109.106.143.194|Cable/DSL
109.106.143.199|Cable/DSL
109.106.143.2|Cable/DSL
109.106.143.205|Cable/DSL
109.106.143.208|Cable/DSL
109.106.143.209|Cable/DSL
109.106.143.213|Cable/DSL
109.106.143.219|Cable/DSL
109.106.143.22|Cable/DSL
109.106.143.222|Cable/DSL
109.106.143.225|Cable/DSL
109.106.143.226|Cable/DSL
109.106.143.227|Cable/DSL
109.106.143.232|Cable/DSL
109.106.143.237|Cable/DSL
109.106.143.240|Cable/DSL
109.106.143.33|Cable/DSL
109.106.143.36|Cable/DSL
109.106.143.37|Cable/DSL
109.106.143.38|Cable/DSL
109.106.143.4|Cable/DSL
109.106.143.41|Cable/DSL
109.106.143.49|Cable/DSL
109.106.143.54|Cable/DSL
109.106.143.62|Cable/DSL
109.106.143.63|Cable/DSL
109.106.143.64|Cable/DSL
109.106.143.69|Cable/DSL
109.106.143.7|Cable/DSL
109.106.143.71|Cable/DSL
109.106.143.72|Cable/DSL
109.106.143.73|Cable/DSL
109.106.143.74|Cable/DSL
109.106.143.8|Cable/DSL
109.106.143.80|Cable/DSL
109.106.143.82|Cable/DSL
109.106.143.85|Cable/DSL
109.106.143.91|Cable/DSL
109.106.143.97|Cable/DSL
109.106.192.246|Cellular
109.106.194.46|Cellular
109.106.194.62|Cellular
109.106.196.130|Cellular
109.106.209.234|Cellular
109.106.213.134|Cellular
109.106.217.131|Cellular
109.106.217.163|Cellular
109.107.166.100|Cable/DSL
109.107.166.101|Cable/DSL
109.107.166.111|Cable/DSL
109.107.166.114|Cable/DSL
109.107.166.116|Cable/DSL
109.107.166.117|Cable/DSL
109.107.166.241|Cable/DSL
109.107.166.242|Cable/DSL
109.107.166.251|Cable/DSL
109.108.32.118|Cable/DSL
109.108.32.134|Cable/DSL
109.108.32.243|Cable/DSL
109.108.32.56|Cable/DSL
109.108.32.83|Cable/DSL
109.108.35.254|Cable/DSL
109.108.35.8|Cable/DSL
109.108.36.173|Cable/DSL
109.108.36.61|Cable/DSL
109.108.38.6|Cable/DSL
109.108.39.174|Cable/DSL
109.108.41.110|Cable/DSL
109.108.42.246|Cable/DSL
109.108.46.240|Cable/DSL
109.108.46.248|Cable/DSL
109.108.47.123|Cable/DSL
109.108.48.163|Cable/DSL
109.108.48.249|Cable/DSL
109.108.51.1|Cable/DSL
109.108.51.129|Cable/DSL
109.108.52.132|Cable/DSL
109.108.53.15|Cable/DSL
109.108.53.185|Cable/DSL
109.108.53.245|Cable/DSL
109.108.54.220|Cable/DSL
109.108.55.171|Cable/DSL
